,Albania,Armenia,Artist,Australia,Austria,Azerbaijan,Belarus,Belgium,BosniaHerzegovina,Bulgaria,Country,Croatia,Cyprus,CzechRepublic,Denmark,Draw,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Jury Score,Language,Language(s),Latvia,Lithuania,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Place,Points,Poland,Portugal,Romania,Russia,SanMarino,Serbia,Slovenia,Song,Spain,Sweden,Switzerland,TotalScore,Ukraine,UnitedKingdom,Year
11,3,1,Guy Sebastian,0,12,0,6,4,,,Australia,,4,0,8,12,5,5,2,0,7,5,8,8,5,7,6,,English,,5,3,0,6,4,0,8,10,5,196,8,0,2,4,8,3,2,"""Tonight Again""",7,12,8,196,,10,2015
12,1,4,Loïc Nottet,6,5,0,8,0,,,Belgium,,7,6,7,13,7,7,12,6,8,7,12,4,2,4,7,,English,,4,7,1,0,6,0,12,7,4,217,5,5,7,10,5,4,3,"""Rhythm Inside""",6,10,2,217,,3,2015
13,0,0,The Makemakes,0,0,0,0,0,,,Austria,,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,English,,0,0,0,0,0,0,0,0,26a,0,0,0,0,0,0,0,0,"""I Am Yours""",0,0,0,0,,0,2015
14,10,5,Maria Elena Kyriakou,0,0,0,0,0,,,Greece,,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,,English,,0,0,0,0,0,0,0,0,19,23,0,0,0,0,0,0,0,"""One Last Breath""",0,0,0,23,,0,2015
15,6,8,Knez,0,0,2,0,0,,,Montenegro,,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,Montenegrin,,0,0,4,0,0,0,0,0,13,44,0,0,0,0,0,12,10,"""Adio""",0,2,0,44,,0,2015
16,0,0,Ann Sophie,0,0,0,0,0,,,Germany,,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,English,,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,"""Black Smoke""",0,0,0,0,,0,2015
17,0,0,Monika Kuszyńska,0,0,0,0,0,,,Poland,,0,0,0,18,0,0,4,0,0,0,0,0,3,0,1,,English,,0,0,0,0,0,0,0,0,23,10,0,0,0,0,0,0,0,"""In the Name of Love""",0,0,0,10,,2,2015
18,0,2,Aminata,7,1,5,5,7,,,Latvia,,3,5,4,19,6,6,7,4,6,3,5,7,12,0,4,,English,,0,12,0,4,2,0,2,8,6,186,10,2,5,2,12,1,7,"""Love Injected""",4,5,4,186,,7,2015
19,0,0,Voltaj,0,0,0,0,5,,,Romania,,1,0,2,20,0,0,0,0,0,0,1,0,0,5,0,,"Romanian, English",,0,0,0,0,12,0,0,0,15,35,0,4,0,0,0,0,0,"""De la capăt""",5,0,0,35,,0,2015
20,0,0,Edurne,0,0,1,0,0,,,Spain,,0,0,0,21,0,0,5,0,0,0,0,0,0,1,0,,Spanish,,0,0,0,0,1,2,0,0,21,15,0,3,0,1,0,0,0,"""Amanecer""",0,0,1,15,,0,2015
21,0,0,Boggie,0,0,0,0,0,,,Hungary,,0,1,0,22,8,0,1,0,1,0,0,0,0,0,0,,English,,0,0,0,0,0,0,0,0,20,19,0,0,4,0,4,0,0,"""Wars for Nothing""",0,0,0,19,,0,2015
22,0,10,Nina Sublatti,1,0,10,3,1,,,Georgia,,0,4,0,23,1,0,0,0,0,2,3,0,0,0,0,,English,,0,6,0,0,5,0,0,0,11,51,0,0,0,5,0,0,0,"""Warrior""",0,0,0,51,,0,2015
23,0,0,Elnur Huseynov,0,0,0,0,0,,,Azerbaijan,,0,12,0,24,0,0,0,10,0,0,0,0,0,0,0,,English,,0,2,0,8,3,8,0,0,12,49,0,0,3,3,0,0,0,"""Hour of the Wolf""",0,0,0,49,,0,2015
24,8,12,Polina Gagarina,10,8,12,12,10,,,Russia,,5,8,10,25,12,8,10,5,12,8,6,3,8,8,10,,English,,10,0,6,7,10,7,6,2,2,303,6,10,10,0,0,10,5,"""A Million Voices""",10,6,7,303,,6,2015
25,0,0,Elhaida Dani,0,0,0,0,6,,,Albania,,0,0,0,26,0,0,0,0,0,6,0,0,0,0,0,,English,,0,0,12,0,0,10,0,0,17,34,0,0,0,0,0,0,0,"""I'm Alive""",0,0,0,34,,0,2015
0,0,4,Laura Tesoro,12,5,0,4,0,0,10,Belgium,0,0,2,8,01,0,0,0,10,5,0,0,3,12,6,0,181,English,,0,5,4,0,0,3,4,5,10,181,0,,,0,0,0,8,"""What's the Pressure""",0,0,10,51,10,0,2016
1,0,1,Gabriela Gunčíková,0,4,0,0,1,6,0,Czech Republic,10,0,0,0,02,0,3,0,0,0,0,2,5,2,0,0,41,English,,0,0,0,0,0,0,0,0,25,41,4,,,0,0,0,0,"""I Stand""",0,3,0,0,0,0,2016
2,0,0,Douwe Bob,3,0,0,0,4,0,2,Netherlands,0,0,7,7,03,6,10,7,0,4,0,6,12,8,0,4,153,English,,3,0,2,0,0,0,0,6,11,153,0,,,0,4,5,1,"""Slow Down""",3,5,5,39,0,0,2016
3,0,0,Samra,0,0,0,2,0,1,0,Azerbaijan,0,2,0,0,04,0,0,0,0,0,1,7,0,0,0,0,117,English,,0,0,1,0,0,0,1,0,17,117,0,,,10,0,0,0,"""Miracle""",2,10,0,73,7,0,2016
4,1,0,Freddie,0,0,4,0,0,0,0,Hungary,5,4,10,0,05,0,0,0,0,0,3,0,0,0,0,0,108,English,,0,0,0,0,0,7,0,0,19,108,0,,,1,2,0,3,"""Pioneer""",10,0,0,56,2,0,2016
5,8,0,Francesca Michielin,0,0,0,0,10,0,0,Italy,3,3,0,0,06,0,2,12,0,3,0,0,0,6,0,0,124,"Italian, English",,0,0,0,8,0,0,6,12,16,124,0,,,0,10,0,0,"""No Degree of Separation""",5,0,2,34,0,0,2016
6,3,0,Hovi Star,10,0,3,0,2,0,0,Israel,7,5,0,2,07,0,7,0,3,12,0,0,0,4,0,8,135,English,,2,6,5,1,0,0,7,3,14,135,7,,,0,0,7,2,"""Made of Stars""",1,0,8,11,6,3,2016
7,4,7,Poli Genova,8,0,8,1,6,3,0,Bulgaria,0,0,0,6,08,0,0,10,0,0,0,0,0,10,7,0,307,"English, Bulgarian",,1,2,10,10,0,2,0,8,4,307,3,,,0,0,4,10,"""If Love Was a Crime""",0,0,1,180,1,5,2016
8,0,0,Frans,0,8,0,8,0,0,0,Sweden,0,0,12,4,09,12,12,5,6,10,0,4,6,5,0,2,261,English,,8,0,0,0,6,0,10,0,5,261,0,,,0,0,0,0,"""If I Were Sorry""",0,0,0,139,4,0,2016
9,0,0,Jamie-Lee,0,0,0,0,0,0,0,Germany,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,11,English,,0,0,0,0,0,0,0,0,26,11,0,,,0,0,0,0,"""Ghost""",0,0,0,10,0,0,2016
10,10,12,Amir,6,7,0,0,8,7,0,France,8,7,5,0,11,1,1,0,4,0,6,0,2,3,8,7,257,"French, English",,0,1,0,6,0,5,5,0,6,257,1,,,7,0,0,0,"""J'ai cherché""",7,8,0,109,0,6,2016
11,0,0,Michał Szpak,0,0,2,0,0,0,0,Poland,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,229,English,,0,3,0,0,0,1,0,1,8,229,0,,,0,0,0,0,"""Color of Your Life""",0,0,0,222,0,0,2016
12,12,5,Dami Im,0,12,7,6,12,10,8,Australia,12,10,0,10,13,10,8,6,8,6,7,12,10,0,10,6,511,English,,5,12,8,3,10,4,12,10,2,511,10,,,2,0,6,6,"""Sound of Silence""",8,12,12,191,5,8,2016
13,0,6,Minus One,0,0,0,0,0,0,0,Cyprus,1,0,0,0,14,4,0,0,0,0,8,0,0,0,0,1,96,English,,0,0,0,5,2,0,0,0,21,96,0,,,4,5,0,0,"""Alter Ego""",0,0,0,53,0,7,2016
14,0,0,Sanja Vučić ZAA,0,0,0,0,0,8,5,Serbia,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,115,English,,0,0,7,0,0,6,0,0,18,115,0,,,0,0,0,5,"""Goodbye (Shelter)""",0,0,0,80,0,2,2016
15,0,0,Donny Montell,7,1,5,10,0,0,1,Lithuania,0,0,3,5,16,5,6,0,5,1,0,3,0,0,1,0,200,English,,10,0,0,0,4,0,0,2,9,200,2,,,0,0,8,0,"""I've Been Waiting for This Night""",0,2,7,96,12,4,2016
16,0,0,Nina Kraljić,1,6,0,0,0,4,0,Croatia,0,1,8,0,17,0,0,0,2,0,0,0,7,0,3,0,73,English,,0,0,6,0,1,0,0,0,23,73,0,,,0,0,0,0,"""Lighthouse""",0,0,0,33,0,1,2016
17,7,2,Sergey Lazarev,0,3,12,12,0,5,6,Russia,6,12,0,0,18,0,0,1,0,0,12,0,8,0,0,0,491,English,,7,0,0,4,7,8,0,0,3,491,0,,,0,7,1,0,"""You Are the Only One""",4,6,0,361,0,0,2016
18,6,3,Barei,5,0,1,0,0,0,4,Spain,0,0,0,1,19,0,0,3,0,0,0,5,0,0,4,12,77,English,,0,0,0,2,8,0,0,7,22,77,5,,,0,0,0,0,"""Say Yay!""",0,1,0,10,0,0,2016
19,0,0,Justs,0,0,0,0,0,0,0,Latvia,0,0,1,0,20,8,0,0,7,2,0,8,0,1,5,0,132,English,,0,7,3,0,0,0,0,0,15,132,6,,,3,0,0,7,"""Heartbeat""",0,0,3,63,8,0,2016
20,0,0,Jamala,2,0,10,7,3,12,0,Ukraine,0,0,0,12,21,7,0,0,12,7,2,0,0,0,12,10,534,"English, Crimean Tatar",,12,8,12,0,12,0,3,4,1,534,12,,,0,12,12,12,"""1944""",0,0,6,323,0,10,2016
21,2,8,Ira Losco,0,10,6,5,0,0,7,Malta,0,6,6,0,22,2,5,4,0,0,4,10,4,0,0,5,153,English,,4,0,0,0,3,12,0,0,12,153,0,,,8,3,10,0,"""Walk on Water""",6,7,0,16,0,0,2016
22,0,10,Nika Kocharov & Young Georgian Lolitaz,0,0,0,0,7,0,3,Georgia,0,0,0,0,23,0,0,0,0,8,5,0,0,0,0,3,104,English,,0,10,0,0,0,0,0,0,20,104,8,,,5,6,0,0,"""Midnight Gold""",0,0,0,24,3,12,2016
23,0,0,Zoë,0,0,0,0,5,0,0,Austria,0,0,0,0,24,0,4,8,0,0,0,0,1,0,0,0,151,French,,0,0,0,0,0,0,8,0,13,151,0,,,0,1,0,0,"""Loin d'ici""",0,0,4,120,0,0,2016
24,5,0,Joe and Jake,4,0,0,0,0,0,0,United Kingdom,0,0,4,3,25,3,0,0,0,0,0,0,0,7,0,0,62,English,,0,0,0,12,0,0,0,0,24,62,0,,,6,8,2,0,"""You're Not Alone""",0,0,0,8,0,0,2016
0,0,0,IMRI,0,0,4,1,0,,8,Israel,0,0,0,0,01,0,0,6,0,0,0,0,0,0,0,0,39,English,,0,0,0,7,0,0,0,5,23,39,0,0,2,,0,1,0,"""I Feel Alive""",0,0,0,5,0,0,2017
1,0,0,Kasia Moś,2,0,6,2,0,,7,Poland,0,0,1,0,02,0,0,0,0,0,0,0,0,0,0,0,64,English,,0,0,0,0,0,0,0,0,22,64,0,0,0,,1,0,4,"""Flashlight""",0,0,0,41,0,0,2017
2,0,0,Naviband,0,7,12,0,0,,2,Belarus,5,0,0,0,03,0,0,0,0,0,3,0,0,0,1,0,83,Belarusian[e],,2,0,0,2,3,0,0,0,17,83,0,0,0,,0,0,0,"""Story of My Life""",0,0,0,33,12,1,2017
3,0,1,Nathan Trent,3,0,0,4,3,,12,Austria,1,0,4,7,04,0,0,1,5,2,0,0,0,7,0,1,93,English,,6,5,0,0,2,1,3,0,16,93,0,10,1,,0,4,0,"""Running on Air""",3,4,0,0,0,3,2017
4,7,0,Artsvik,1,0,0,0,0,,4,Armenia,0,0,0,1,05,0,0,0,3,0,8,2,0,0,0,4,79,English,,0,3,0,1,6,4,0,0,18,79,2,0,0,,4,5,3,"""Fly with Me""",0,0,0,21,0,0,2017
5,0,0,O'G3NE,4,12,0,5,0,,10,Netherlands,8,0,8,5,06,4,0,4,1,7,0,8,0,4,0,0,150,English,,0,2,0,0,0,0,0,4,11,150,8,3,12,,7,0,1,"""Lights and Shadows""",1,3,7,15,3,4,2017
6,0,8,Sunstroke Project,10,0,10,0,0,,0,Moldova,0,0,3,3,07,0,3,0,0,0,7,0,0,0,3,8,374,English,,1,0,6,0,0,0,0,2,3,374,0,6,8,,0,7,0,"""Hey, Mamma!""",7,8,0,264,4,6,2017
7,0,0,Joci Pápai,0,5,0,0,0,,0,Hungary,12,0,0,0,08,1,0,0,0,1,0,0,4,0,0,0,200,Hungarian[c],,0,0,0,3,1,0,0,0,8,200,0,0,0,,0,10,0,"""Origo""",0,0,3,152,8,0,2017
8,12,2,Francesco Gabbani,0,6,0,0,0,,0,Italy,0,10,0,0,09,0,7,10,2,0,4,0,5,0,2,0,334,Italian[f],,0,8,0,12,0,8,0,7,6,334,0,0,0,,3,8,2,"""Occidentali's Karma""",10,6,2,208,0,0,2017
9,0,0,Anja,5,0,0,3,0,,0,Denmark,3,0,6,0,10,5,4,0,0,0,0,5,3,0,0,0,77,English,,0,0,7,0,0,0,8,8,20,77,0,0,5,,0,0,0,"""Where I Am""",0,5,0,8,0,2,2017
10,6,12,Salvador Sobral,7,8,8,10,8,,0,Portugal,7,8,12,10,11,8,8,12,12,10,5,12,12,5,12,5,758,Portuguese,,12,12,10,10,7,0,12,10,1,758,12,0,6,,12,12,12,"""Amar pelos dois""",12,12,12,376,10,12,2017
11,2,0,Dihaj,0,0,0,0,4,,5,Azerbaijan,0,1,0,0,12,0,0,0,10,0,10,4,0,1,0,12,120,English,,0,0,0,0,5,0,0,0,14,120,1,12,0,,5,0,0,"""Skeletons""",0,0,0,42,6,0,2017
12,0,0,Jacques Houdek,0,0,1,0,0,,0,Croatia,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,128,"English, Italian",,0,0,0,6,0,5,0,0,13,128,0,0,3,,0,0,0,"""My Friend""",0,0,0,103,7,0,2017
13,4,0,Isaiah,0,0,0,7,6,,0,Australia,6,4,10,8,14,7,10,2,0,5,0,7,10,0,0,0,173,English,,5,1,8,0,4,0,4,3,9,173,7,5,4,,0,3,7,"""Don't Come Easy""",8,10,4,2,2,10,2017
14,1,10,Demy,0,0,5,0,0,,6,Greece,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,77,English,,0,0,0,0,0,12,0,0,19,77,0,0,0,,0,0,0,"""This Is Love""",2,0,0,29,0,0,2017
15,0,0,Manel Navarro,0,0,0,0,0,,0,Spain,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,"Spanish, English",,0,0,0,0,0,0,0,0,26,5,0,0,0,,0,0,0,"""Do It for Your Lover""",0,0,0,5,0,0,2017
16,0,5,JOWST[d],0,3,0,6,7,,0,Norway,2,0,0,6,17,10,1,7,7,12,0,6,1,2,5,3,158,English,,7,10,2,0,0,0,7,0,10,158,3,2,0,,10,0,0,"""Grab the Moment""",0,0,5,29,0,0,2017
17,8,4,Lucie Jones,12,1,0,0,2,,0,United Kingdom,0,5,5,0,18,6,2,3,0,6,1,3,7,0,0,0,111,English,,4,0,3,0,0,0,5,1,15,111,5,0,0,,6,0,10,"""Never Give Up on You""",0,0,0,12,0,0,2017
18,0,7,Hovig,0,0,0,0,5,,0,Cyprus,0,0,0,0,19,0,5,0,4,0,12,0,0,0,0,0,68,English,,0,0,0,0,0,0,0,0,21,68,0,1,0,,0,0,0,"""Gravity""",0,2,0,32,0,0,2017
19,3,0,Ilinca ft. Alex Florea,0,0,3,0,0,,3,Romania,0,0,0,0,20,0,0,0,0,0,6,0,0,8,0,0,282,English,,3,0,4,5,12,10,1,0,7,282,0,0,0,,0,0,0,"""Yodel It!""",0,0,0,224,0,0,2017
20,0,0,Levina,0,0,0,0,0,,0,Germany,0,0,0,0,21,0,0,0,0,0,0,0,0,3,0,0,6,English,,0,0,0,0,0,0,0,0,25,6,0,0,0,,0,0,0,"""Perfect Life""",0,0,0,3,0,0,2017
21,0,0,O.Torvald,0,0,7,0,0,,1,Ukraine,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,36,English,,0,0,0,0,0,0,0,0,24,36,0,0,0,,0,0,0,"""Time""",0,0,0,24,0,0,2017
22,0,0,Blanche,0,2,0,0,0,,0,Belgium,0,3,0,2,23,2,0,0,0,0,0,0,2,12,8,7,363,English,,10,4,0,0,0,6,2,0,4,363,10,8,0,,8,0,5,"""City Lights""",4,1,6,255,1,5,2017
23,0,6,Robin Bengtsson,6,4,0,8,12,,0,Sweden,4,6,7,12,24,3,12,8,8,4,0,1,8,6,10,10,344,English,,0,6,1,0,8,7,6,6,5,344,4,7,7,,0,2,6,"""I Can't Go On""",5,0,10,126,0,8,2017
24,10,0,Kristian Kostov,8,10,2,12,10,,0,Bulgaria,10,7,2,4,25,12,6,5,6,8,2,10,6,10,7,2,615,English,,8,7,12,8,10,2,10,12,2,615,6,0,10,,2,6,8,"""Beautiful Mess""",6,7,8,337,0,7,2017
0,0,0,Mélovin,0,0,6,0,0,,0,Ukraine,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,130,,English,0,0,0,0,5,0,0,0,17,130,0,0,0,0,0,0,0,"""Under the Ladder""",0,0,0,119,0,0,2018
1,0,0,Amaia & Alfred,7,0,0,0,1,,0,Spain,0,7,0,6,02,0,0,0,0,6,0,0,0,1,0,0,61,,Spanish,0,0,0,0,0,0,0,2,23,61,0,2,10,0,0,0,0,"""Tu canción""",0,0,0,18,0,1,2018
2,0,0,Lea Sirk,0,5,0,4,0,,0,Slovenia,0,0,7,0,03,0,0,2,0,0,0,0,0,0,4,0,64,,Slovene[g],1,0,2,0,0,0,1,0,22,64,0,3,1,0,6,0,0,"""Hvala, ne!""",0,0,0,23,5,0,2018
3,0,0,Ieva Zasimauskaitė,3,0,0,5,0,,10,Lithuania,12,0,1,0,04,10,0,0,2,4,0,5,0,0,0,0,181,,English[a],4,0,0,0,0,0,7,3,12,181,1,6,6,3,0,0,0,"""When We're Old""",0,0,8,91,0,0,2018
4,0,1,Cesár Sampson,5,0,0,10,12,,12,Austria,0,2,5,8,05,12,7,7,8,10,0,8,12,5,12,7,342,,English,7,12,0,1,3,0,10,8,3,342,12,8,12,0,0,4,10,"""Nobody but You""",8,10,4,71,7,12,2018
5,0,0,Elina Nechayeva,8,2,3,0,0,,0,Estonia,0,1,0,7,06,0,0,0,10,2,3,0,7,3,0,4,245,,Italian,8,0,12,0,12,5,4,0,8,245,0,12,3,6,5,3,5,"""La forza""",1,0,10,102,1,6,2018
6,0,0,Alexander Rybak,0,0,0,8,0,,0,Norway,5,0,0,0,07,4,0,0,0,0,0,2,0,0,0,12,144,,English,0,0,0,4,2,7,3,0,15,144,0,0,0,0,0,6,0,"""That's How You Write a Song""",0,2,0,84,0,5,2018
7,0,0,Cláudia Pascoal[h],0,0,0,0,0,,0,Portugal,0,0,0,0,08,3,0,0,0,0,0,0,0,6,0,0,39,,Portuguese,0,7,0,0,0,0,2,0,26,39,0,0,0,0,0,0,0,"""O jardim""",0,0,3,18,0,0,2018
8,0,0,SuRie,0,0,0,0,0,,0,United Kingdom,2,0,0,0,09,0,0,3,0,0,0,0,0,0,8,6,48,,English,2,0,0,0,0,2,0,0,24,48,0,0,0,0,0,0,0,"""Storm""",0,0,0,25,0,0,2018
9,3,0,Sanja Ilić & Balkanika,0,0,10,0,0,,0,Serbia,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,113,,Serbian[d],0,0,8,0,0,12,0,0,19,113,0,0,0,0,3,0,0,"""Nova deca"" (Нова деца)",0,0,0,75,0,0,2018
10,6,5,Michael Schulte,10,10,2,0,5,,6,Germany,0,0,0,12,11,6,1,8,7,0,0,0,6,8,5,10,340,,English,3,5,3,0,4,0,12,12,4,340,10,0,4,4,10,10,0,"""You Let Me Walk Alone""",7,1,12,136,0,0,2018
11,0,0,Eugent Bushpepa,0,7,12,7,2,,7,Albania,1,6,6,0,12,0,0,0,4,0,7,10,10,2,0,0,184,,Albanian,0,0,6,0,0,10,0,0,11,184,7,10,0,0,0,1,4,"""Mall""",0,0,0,58,0,7,2018
12,7,4,Madame Monsieur,0,0,0,0,3,,5,France,6,3,0,2,13,0,5,0,0,0,5,0,3,4,0,0,173,,French,10,10,0,8,0,0,0,7,13,173,0,5,0,2,0,0,2,"""Mercy""",6,5,0,59,12,0,2018
13,1,0,Mikolas Josef,1,3,0,6,7,,8,Czech Republic,4,5,0,0,14,0,0,4,0,0,0,0,1,0,0,0,281,,English,0,0,4,5,0,0,0,0,6,281,0,0,0,0,0,0,3,"""Lie to Me""",4,0,0,215,4,0,2018
14,0,6,Rasmussen,0,0,0,3,0,,0,Denmark,0,0,0,0,15,0,3,0,1,0,0,12,0,0,2,8,226,,English[e],0,0,0,0,0,6,0,0,9,226,0,0,0,0,0,0,0,"""Higher Ground""",0,0,0,188,3,0,2018
15,0,0,Jessica Mauboy,0,0,0,2,0,,0,Australia,0,0,0,10,16,0,0,10,0,7,0,7,0,0,7,0,99,,English,6,0,0,3,7,0,0,6,20,99,4,0,2,5,2,0,0,"""We Got Love""",0,8,0,9,2,0,2018
16,0,2,Saara Aalto,0,0,0,0,0,,0,Finland,0,0,3,0,17,2,0,0,0,0,0,0,0,0,6,0,46,,English,0,0,5,0,0,0,0,0,25,46,0,0,0,0,0,0,0,"""Monsters""",0,3,0,23,0,4,2018
17,8,0,Equinox,0,6,5,0,0,,0,Bulgaria,7,0,4,1,18,7,10,0,6,0,0,0,0,10,1,0,166,,English,0,0,0,2,8,0,0,0,14,166,2,7,0,0,0,0,0,"""Bones""",0,6,2,66,0,8,2018
18,2,10,DoReDoS,2,0,7,0,0,,0,Moldova,8,10,0,0,19,0,0,0,0,0,10,0,0,0,0,0,209,,English,0,0,0,0,0,8,0,0,10,209,0,0,7,12,7,5,6,"""My Lucky Day""",0,0,0,115,0,0,2018
19,4,12,Benjamin Ingrosso,12,8,0,1,8,,2,Sweden,0,12,8,4,20,5,8,5,12,12,8,1,5,0,10,1,274,,English,12,8,7,7,0,0,8,10,7,274,6,0,0,10,8,12,12,"""Dance You Off""",2,0,5,21,6,2,2018
20,0,0,AWS,0,0,8,0,0,,0,Hungary,0,4,2,0,21,0,0,0,0,0,6,0,0,0,3,0,93,,Hungarian,0,2,0,0,0,0,0,0,21,93,3,0,0,0,0,0,0,"""Viszlát nyár""",0,0,0,65,0,0,2018
21,5,8,Netta,6,12,1,0,6,,4,Israel,10,0,12,3,22,0,12,12,3,1,4,6,8,7,0,2,529,,English[b],0,6,1,6,10,0,5,0,1,529,0,1,0,8,12,2,1,"""Toy""",10,7,1,317,10,10,2018
22,0,3,Waylon,0,1,0,0,10,,0,Netherlands,0,0,0,0,23,1,0,6,5,5,0,4,0,0,0,0,121,,English,5,3,0,0,1,3,0,4,18,121,8,0,8,0,0,7,7,"""Outlaw in 'Em""",0,0,0,32,8,0,2018
23,0,0,Ryan O'Shaughnessy,4,4,0,0,0,,1,Ireland,3,0,10,0,24,0,2,1,0,8,0,3,4,0,0,5,136,,English,0,4,0,0,0,0,0,1,16,136,5,0,0,0,1,0,0,"""Together""",5,4,6,62,0,3,2018
24,10,7,Eleni Foureira,0,0,4,12,4,,3,Cyprus,0,0,0,5,25,8,6,0,0,3,12,0,2,12,0,3,436,,English[c],0,1,10,12,6,1,6,5,2,436,0,0,5,7,0,0,8,"""Fuego""",12,12,7,253,0,0,2018
